mcdi_complexity_raw,gender,age,mcdi_complexity_inter_ptile_within,mcdi_complexity_inter_ptile_both
11,M,27,52.5,43.333
12,M,27,55,45
13,M,27,56.25,46.667
14,M,27,57.5,48.333
15,M,27,58.75,50
16,M,27,60,51.667
17,M,27,62.5,53.333
18,M,27,65,55
19,M,27,66.667,56.667
20,M,27,68.333,58.333
21,M,27,70,60
22,M,27,71.667,62.5
23,M,27,73.333,65
24,M,27,75,66.667
25,M,27,77.5,68.333
26,M,27,80,70
27,M,27,81.25,72.5
28,M,27,82.5,75
29,M,27,83.75,77.5
30,M,27,85,80
31,M,27,90,82.5
32,M,27,91.25,85
33,M,27,92.5,86.667
34,M,27,93.75,88.333
35,M,27,95,90
36,M,27,97.5,95
37,M,27,99,99
0,M,28,15,10
1,M,28,20,15
2,M,28,25,17.5
3,M,28,26.667,20
4,M,28,28.333,22.5
5,M,28,30,25
6,M,28,35,26.667
7,M,28,36.25,28.333
8,M,28,37.5,30
9,M,28,38.75,31.25
10,M,28,40,32.5
11,M,28,41.667,33.75
12,M,28,43.333,35
13,M,28,45,36.667
14,M,28,46.667,38.333
15,M,28,48.333,40
16,M,28,50,41.25
17,M,28,52.5,42.5
18,M,28,55,43.75
19,M,28,56.25,45
20,M,28,57.5,46.667
21,M,28,58.75,48.333
22,M,28,60,50
23,M,28,62.5,52.5
24,M,28,65,55
25,M,28,66.667,56.667
26,M,28,68.333,58.333
27,M,28,70,60
28,M,28,72.5,62.5
29,M,28,75,65
30,M,28,77.5,67.5
31,M,28,80,70
32,M,28,82.5,75
33,M,28,85,77.5
34,M,28,90,80
35,M,28,92.5,85
36,M,28,95,90
37,M,28,99,99
0,M,29,10,10
1,M,29,15,15
2,M,29,20,16.667
3,M,29,25,18.333
4,M,29,26,20
5,M,29,27,21
6,M,29,28,22
7,M,29,29,23
8,M,29,30,24
9,M,29,32.5,25
10,M,29,35,26.25
11,M,29,36,27.5
12,M,29,37,28.75
13,M,29,38,30
14,M,29,39,31
15,M,29,40,32
16,M,29,41.25,33
17,M,29,42.5,34
18,M,29,43.75,35
19,M,29,45,36.25
20,M,29,46.25,37.5
21,M,29,47.5,38.75
22,M,29,48.75,40
23,M,29,50,41.25
24,M,29,52.5,42.5
25,M,29,55,43.75
26,M,29,56.667,45
27,M,29,58.333,47.5
28,M,29,60,50
29,M,29,65,52.5
30,M,29,67.5,55
31,M,29,70,60
32,M,29,72.5,62.5
33,M,29,75,65
34,M,29,80,70
35,M,29,90,75
36,M,29,92.5,85
37,M,29,99,99
9999,M,16,9999,9999
9999,M,17,9999,9999
9999,M,18,9999,9999
9999,M,19,9999,9999
9999,M,20,9999,9999
9999,M,21,9999,9999
9999,M,22,9999,9999
9999,M,23,9999,9999
