mcdi_tgestures_raw,gender,age,mcdi_tgestures_inter_ptile
60,M,15,>99
61,M,15,>99
62,M,15,>99
63,M,15,>99
0,M,16,<5
1,M,16,<5
2,M,16,<5
3,M,16,<5
4,M,16,<5
5,M,16,<5
6,M,16,<5
7,M,16,<5
8,M,16,<5
9,M,16,<5
10,M,16,<5
11,M,16,<5
12,M,16,<5
13,M,16,<5
14,M,16,<5
15,M,16,<5
16,M,16,5
17,M,16,5.333
18,M,16,5.667
19,M,16,6
20,M,16,6.333
21,M,16,6.667
22,M,16,7
23,M,16,7.333
24,M,16,7.667
25,M,16,8
26,M,16,8.333
27,M,16,8.667
28,M,16,9
29,M,16,9.333
30,M,16,9.667
31,M,16,10
32,M,16,11.25
33,M,16,12.5
34,M,16,13.75
35,M,16,15
36,M,16,16.667
37,M,16,18.333
38,M,16,25
39,M,16,30
40,M,16,40
41,M,16,45
42,M,16,47.5
43,M,16,50
44,M,16,52.5
45,M,16,60
46,M,16,62.5
47,M,16,65
48,M,16,75
49,M,16,80
50,M,16,81.667
51,M,16,83.333
52,M,16,85
53,M,16,87.5
54,M,16,90
55,M,16,92.5
56,M,16,95
57,M,16,97.5
58,M,16,99
59,M,16,>99
60,M,16,>99
61,M,16,>99
62,M,16,>99
63,M,16,>99
0,M,17,<5
1,M,17,<5
2,M,17,<5
3,M,17,<5
4,M,17,<5
5,M,17,<5
6,M,17,<5
7,M,17,<5
8,M,17,<5
9,M,17,<5
